cd_nom;StN_2020;nom_scient_TaxRef_v15
909420;Dasysyrphus neovenustus Soszynski, Mielczarek & Tofilski, 2013;Dasysyrphus neovenustus Soszyński & Mielczarek, 2013
23117;Dasysyrphus tricinctus (Fallen),  1817;Dasysyrphus tricinctus (Fallén, 1817)
23118;Dasysyrphus venustus (Meigen),  1822;Dasysyrphus venustus (Meigen, 1822)
23186;Didea fasciata Macquart,  1834;Didea fasciata Macquart, 1834
23187;Didea intermedia Loew,  1854;Didea intermedia Loew, 1854
217441;Doros profuges (Harris),  1780;Doros profuges (Harris, 1780)
23122;Epistrophe eligans (Harris),  1780;Epistrophe eligans (Harris, 1780)
217442;Epistrophe flava Doczkal & Schmid,  1994;Epistrophe flava Doczkal & Schmid, 1994
23126;Epistrophe grossulariae (Meigen),  1822;Epistrophe grossulariae (Meigen, 1822)
23128;Epistrophe melanostoma (Zetterstedt),  1843;Epistrophe melanostoma (Zetterstedt, 1843)
23129;Epistrophe nitidicollis (Meigen),  1822;Epistrophe nitidicollis (Meigen, 1822)
779356;Epistrophe olgae Mutin, 1993;Epistrophe olgae Mutin, 1993
23196;Episyrphus balteatus (De Geer),  1776;Episyrphus balteatus (De Geer, 1776)
23132;Eriozona syrphoides (Fallen),  1817;Eriozona syrphoides (Fallén, 1817)
23697;Eristalinus aeneus (Scopoli),  1763;Eristalinus aeneus (Scopoli, 1763)
217448;Eristalinus sepulchralis (L.),  1758;Eristalinus sepulchralis (Linnaeus, 1758)
217450;Eristalis abusiva Collin,  1931;Eristalis abusiva Collin, 1931
23705;Eristalis arbustorum (L.),  1758;Eristalis arbustorum (Linnaeus, 1758)
23707;Eristalis horticola (De Geer), 1776;Eristalis horticola (De Geer, 1776)
217453;Eristalis intricaria (L.),  1758;Eristalis intricaria (Linnaeus, 1758)
23711;Eristalis nemorum (L.),  1758;Eristalis nemorum (Linnaeus, 1758)
23712;Eristalis pertinax (Scopoli),  1763;Eristalis pertinax (Scopoli, 1763)
